,0
2018-01-16 16:47:00,
2018-01-16 16:52:00,
2018-01-16 16:57:00,
2018-01-16 17:02:00,
2018-01-16 17:07:00,
2018-01-16 17:12:00,
2018-01-16 17:17:00,
2018-01-16 17:22:00,
2018-01-16 17:27:00,
2018-01-16 17:32:00,
2018-01-16 17:37:00,
2018-01-16 17:42:00,214.18438501
2018-01-17 10:22:00,214.18438501
2018-01-17 10:27:00,215.022637137
2018-01-17 10:32:00,216.354506024
2018-01-17 10:37:00,218.202292212
2018-01-17 10:42:00,220.620974311
2018-01-17 10:47:00,223.727678069
2018-01-17 10:52:00,227.559650191
2018-01-17 10:57:00,231.916072615
2018-01-17 11:02:00,236.388421782
2018-01-17 11:07:00,240.54435707
2018-01-17 11:12:00,244.089792022
2018-01-17 11:17:00,246.915755996
2018-01-17 11:22:00,249.057876357
2018-01-17 11:27:00,250.630630263
